,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_COUNTRY,ORIGIN_COUNTRY_NAME,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_COUNTRY,DEST_COUNTRY_NAME,DEST_WAC,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS,DATA_SOURCE,Unnamed: 50
7,0.0,1.0,5150.0,14.0,5.0,0.0,0.0,5341.0,0.0,0.0,17Q,21447.0,Albinati Aeronautics SA,71098,I,17Q,Albinati Aeronautics SA,0,0.0,11259,1125903,30194,DAL,"Dallas, TX",TX,48.0,Texas,US,United States,74,12987,1298704,32987,LIN,"Milan, Italy",,,,IT,Italy,450,6,658,1,2015,1,1,11,L,IF,
10,0.0,1.0,5150.0,14.0,6.0,0.0,0.0,5973.0,0.0,0.0,17Q,21447.0,Albinati Aeronautics SA,71098,I,17Q,Albinati Aeronautics SA,0,0.0,12987,1298704,32987,LIN,"Milan, Italy",,,,IT,Italy,450,14771,1477101,32457,SFO,"San Francisco, CA",CA,6.0,California,US,United States,91,6,658,1,2015,1,1,12,L,IF,
18,0.0,4.0,404800.0,1260.0,558.0,0.0,0.0,5713.0,0.0,0.0,8R,20234.0,Edelweiss Air Ag,9486F,I,8R,Edelweiss Air Ag,0,0.0,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32.0,Nevada,US,United States,85,16321,1632103,36321,ZRH,"Zurich, Switzerland",,,,CH,Switzerland,486,6,696,1,2015,1,1,12,F,IF,
19,0.0,9.0,910800.0,2835.0,1666.0,2882.0,0.0,4879.0,0.0,0.0,8R,20234.0,Edelweiss Air Ag,9486F,I,8R,Edelweiss Air Ag,0,0.0,15304,1530402,33195,TPA,"Tampa, FL",FL,12.0,Florida,US,United States,33,16321,1632103,36321,ZRH,"Zurich, Switzerland",,,,CH,Switzerland,486,6,696,1,2015,1,1,10,F,IF,
20,0.0,4.0,404800.0,1260.0,833.0,0.0,0.0,5713.0,0.0,0.0,8R,20234.0,Edelweiss Air Ag,9486F,I,8R,Edelweiss Air Ag,0,0.0,16321,1632103,36321,ZRH,"Zurich, Switzerland",,,,CH,Switzerland,486,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32.0,Nevada,US,United States,85,6,696,1,2015,1,1,12,F,IF,
21,0.0,9.0,910800.0,2835.0,1758.0,39954.0,0.0,4879.0,0.0,0.0,8R,20234.0,Edelweiss Air Ag,9486F,I,8R,Edelweiss Air Ag,0,0.0,16321,1632103,36321,ZRH,"Zurich, Switzerland",,,,CH,Switzerland,486,15304,1530402,33195,TPA,"Tampa, FL",FL,12.0,Florida,US,United States,33,6,696,1,2015,1,1,10,F,IF,
23,0.0,29.0,2557427.0,8525.0,7094.0,621786.0,0.0,4733.0,0.0,0.0,AB,21361.0,Air Berlin PLC and CO,71074,I,AB,Air Berlin PLC and CO,0,0.0,11444,1144404,30970,DUS,"Dusseldorf, Germany",,,,DE,Germany,429,13303,1330303,32467,MIA,"Miami, FL",FL,12.0,Florida,US,United States,33,6,696,1,2015,1,1,10,F,IF,
24,0.0,12.0,1049765.0,3569.0,2435.0,224246.0,0.0,4757.0,0.0,0.0,AB,21361.0,Air Berlin PLC and CO,71074,I,AB,Air Berlin PLC and CO,0,0.0,11444,1144404,30970,DUS,"Dusseldorf, Germany",,,,DE,Germany,429,14635,1463502,31714,RSW,"Fort Myers, FL",FL,12.0,Florida,US,United States,33,6,696,1,2015,1,1,10,F,IF,
27,0.0,29.0,3020211.0,8530.0,7791.0,455231.0,0.0,4733.0,0.0,0.0,AB,21361.0,Air Berlin PLC and CO,71074,I,AB,Air Berlin PLC and CO,0,0.0,13303,1330303,32467,MIA,"Miami, FL",FL,12.0,Florida,US,United States,33,11444,1144404,30970,DUS,"Dusseldorf, Germany",,,,DE,Germany,429,6,696,1,2015,1,1,10,F,IF,
28,0.0,22.0,2294431.0,6480.0,5596.0,507333.0,0.0,4974.0,0.0,0.0,AB,21361.0,Air Berlin PLC and CO,71074,I,AB,Air Berlin PLC and CO,0,0.0,13303,1330303,32467,MIA,"Miami, FL",FL,12.0,Florida,US,United States,33,15402,1540203,30549,TXL,"Berlin, Germany",,,,DE,Germany,429,6,696,1,2015,1,1,10,F,IF,
29,0.0,14.0,1466137.0,4130.0,2468.0,249731.0,0.0,4413.0,0.0,0.0,AB,21361.0,Air Berlin PLC and CO,71074,I,AB,Air Berlin PLC and CO,0,0.0,13930,1393003,30977,ORD,"Chicago, IL",IL,17.0,Illinois,US,United States,41,15402,1540203,30549,TXL,"Berlin, Germany",,,,DE,Germany,429,6,696,1,2015,1,1,9,F,IF,
30,0.0,12.0,1250181.0,3569.0,2770.0,102414.0,0.0,4757.0,0.0,0.0,AB,21361.0,Air Berlin PLC and CO,71074,I,AB,Air Berlin PLC and CO,0,0.0,14635,1463502,31714,RSW,"Fort Myers, FL",FL,12.0,Florida,US,United States,33,11444,1144404,30970,DUS,"Dusseldorf, Germany",,,,DE,Germany,429,6,696,1,2015,1,1,10,F,IF,
32,0.0,22.0,1924391.0,6485.0,5006.0,286066.0,0.0,4974.0,0.0,0.0,AB,21361.0,Air Berlin PLC and CO,71074,I,AB,Air Berlin PLC and CO,0,0.0,15402,1540203,30549,TXL,"Berlin, Germany",,,,DE,Germany,429,13303,1330303,32467,MIA,"Miami, FL",FL,12.0,Florida,US,United States,33,6,696,1,2015,1,1,10,F,IF,
33,0.0,14.0,1435498.0,4130.0,2791.0,310264.0,0.0,4413.0,0.0,0.0,AB,21361.0,Air Berlin PLC and CO,71074,I,AB,Air Berlin PLC and CO,0,0.0,15402,1540203,30549,TXL,"Berlin, Germany",,,,DE,Germany,429,13930,1393003,30977,ORD,"Chicago, IL",IL,17.0,Illinois,US,United States,41,6,696,1,2015,1,1,9,F,IF,
37,0.0,61.0,5365411.0,18353.0,16933.0,571685.0,0.0,4395.0,0.0,0.0,AF,19532.0,Compagnie Natl Air France,9427B,I,AF,Compagnie Natl Air France,0,0.0,10397,1039705,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,US,United States,34,10920,1092003,30920,CDG,"Paris, France",,,,FR,France,427,6,627,1,2015,1,1,9,F,IF,
38,0.0,1.0,206281.0,0.0,0.0,110205.0,0.0,4395.0,0.0,0.0,AF,19532.0,Compagnie Natl Air France,9427B,I,AF,Compagnie Natl Air France,0,0.0,10397,1039705,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,US,United States,34,10920,1092003,30920,CDG,"Paris, France",,,,FR,France,427,6,683,2,2015,1,1,9,G,IF,
39,0.0,4.0,912085.0,0.0,0.0,670303.0,0.0,4395.0,0.0,0.0,AF,19532.0,Compagnie Natl Air France,9427B,I,AF,Compagnie Natl Air France,0,0.0,10397,1039705,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,US,United States,34,10920,1092003,30920,CDG,"Paris, France",,,,FR,France,427,8,820,2,2015,1,1,9,G,IF,
42,0.0,61.0,5365411.0,18353.0,16827.0,1274568.0,0.0,4395.0,0.0,0.0,AF,19532.0,Compagnie Natl Air France,9427B,I,AF,Compagnie Natl Air France,0,0.0,10920,1092003,30920,CDG,"Paris, France",,,,FR,France,427,10397,1039705,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,US,United States,34,6,627,1,2015,1,1,9,F,IF,
