Actividad;Tipo_de_Actividad
TAJ HOTELS INT'L;ALOJAMIENTO
HILTON CONRAD;ALOJAMIENTO
ALQUILER Y VENTA DE BIENES INMUEBLES;ALOJAMIENTO
MANDARIN ORIENTAL HOTEL;ALOJAMIENTO
NEW YORK-NEW YORK HOTEL + CASINO;ALOJAMIENTO
LUXOR HOTEL AND CASINO;ALOJAMIENTO
HOTELES,MOTELES,BALNEARIOS/CAMPINGS(TNA);ALOJAMIENTO
SWISSOTEL;ALOJAMIENTO
ST.REGIS HOTEL;ALOJAMIENTO
OPTICIAN & DISPENSING;ALOJAMIENTO
LOEWS HOTELS;ALOJAMIENTO
HILTON HOTELS;ALOJAMIENTO
CP HOTELS;ALOJAMIENTO
BILTMORE HOTELS&SUITES;ALOJAMIENTO
STEIGENBERGER HOTELS;ALOJAMIENTO
OBEROI HOTELS;ALOJAMIENTO
HOTELES 4/5 ESTR NIVEL2;ALOJAMIENTO
INTER-CONTINENTAL;ALOJAMIENTO
HYATT HOTELS;ALOJAMIENTO
HOLIDAY INN EXPRESS;ALOJAMIENTO
AMERISUITES;ALOJAMIENTO
BEST WESTERN;ALOJAMIENTO
CONCORDE HOTELS;ALOJAMIENTO
FOUR SEASONS HOTELS;ALOJAMIENTO
HILTON INTERNATIONAL;ALOJAMIENTO
HOTEL ARTS;ALOJAMIENTO
HOTELES 4 Y 5 ESTRELLAS,BALNEARIOS,CAMPI;ALOJAMIENTO
HOTELES 4/5 ESTR NIVEL3;ALOJAMIENTO
HOTELES RESTO NIVEL2;ALOJAMIENTO
HOTELES,MOTELES,BALNEARIOS,CAMPINGS REST;ALOJAMIENTO
HOTELS MARRIOTT;ALOJAMIENTO
MELIA (CADENA DE HOTELES);ALOJAMIENTO
NH HOTELES;ALOJAMIENTO
PARADORES NACIONALES;ALOJAMIENTO
SHERATON (SHERATON HOTELS);ALOJAMIENTO
THE RITZ-CARLTON;ALOJAMIENTO
VENTA A BORDO NIVEL 4;ARTICULOS CONSUMO
TELEFONICA V EQUIPOS;ARTICULOS CONSUMO
PC CITY;ARTICULOS CONSUMO
ONCE;ARTICULOS CONSUMO
MEMBERSHIP ORGANIZATIONS NOT CLASSIFIED;ARTICULOS CONSUMO
INSTRUMENTOS MUSICALES;ARTICULOS CONSUMO
INFORMATION RETRIEVAL SERVICES;ARTICULOS CONSUMO
FLORES Y PLANTAS NIVEL 2;ARTICULOS CONSUMO
APUESTAS;ARTICULOS CONSUMO
VENTAS A DOMICILIO;ARTICULOS CONSUMO
LAVADO DE COCHES;ARTICULOS CONSUMO
JOYERIA Y RELOJERIA NIVEL 4;ARTICULOS CONSUMO
JOYERIA Y RELOJERIA NIVEL 2;ARTICULOS CONSUMO
GUCCI;ARTICULOS CONSUMO
CONFECCION TEXTIL NIVEL 3;ARTICULOS CONSUMO
AGENCIAS PUBLICIDAD,GESTORIAS,SERVICIOS;ARTICULOS CONSUMO
V.INTERNET CONTENIDO DIGITAL AUDIO VISUA;ARTICULOS CONSUMO
TAPICERIAS,ALFOMBRAS;ARTICULOS CONSUMO
MUEBLES, ANTIGUEDADES NIVEL 2;ARTICULOS CONSUMO
MIRO ESTABLECIMIENTOS;ARTICULOS CONSUMO
LOCUTORIOS TELEFONICOS;ARTICULOS CONSUMO
GLASSWARE & CRYSTAL STORES;ARTICULOS CONSUMO
FUNERARIAS;ARTICULOS CONSUMO
FOTOGRAFIA NIVEL 3;ARTICULOS CONSUMO
ELECTRICAL PARTS & EQUIPMENT;ARTICULOS CONSUMO
COLEGIOS Y CENTROS DE ENSE<dd>ANZA REGLADA;ARTICULOS CONSUMO
CADENA MENAJE DEL HOGAR;ARTICULOS CONSUMO
VISIONLAB;ARTICULOS CONSUMO
PELETERIAS;ARTICULOS CONSUMO
DIRECT MARKETING-DIRECT MARKETERS,NOT EL;ARTICULOS CONSUMO
CHARITABLE AND SOCIAL SERVICES;ARTICULOS CONSUMO
BELLAGI0;ARTICULOS CONSUMO
BAKERIES;ARTICULOS CONSUMO
ACCESORIOS Y REPUESTOS DE COCHES Y MAQUI;ARTICULOS CONSUMO
DISA;ARTICULOS CONSUMO
DISCOUNT STORES;ARTICULOS CONSUMO
COLEGIOS ENSE#ANZA PROFESIONAL/AUTOESCUE;ARTICULOS CONSUMO
SUSCRIPCIONES A PUBLICACIONES PERIODICAS;ARTICULOS CONSUMO
COMPUTER & DATA PROCESSING SERVICES;ARTICULOS CONSUMO
TOURIST ATTRACTIONS AND EXHIBITS;ARTICULOS CONSUMO
CONFECCION TEXTIL NIVEL 5;ARTICULOS CONSUMO
ZAPATERIA NIVEL 2;ARTICULOS CONSUMO
VENTA DE ENTRADA CON TERMINALES NO ATE;ARTICULOS CONSUMO
V.PRODUCT POR MENOR N4;ARTICULOS CONSUMO
PELUQUERIAS,INSTITUTOS DE BELLEZA Y GIMN;ARTICULOS CONSUMO
MENAJE DEL HOGAR;ARTICULOS CONSUMO
MATERIALES CONSTRUCCION,FONTANERIA,SANEA;ARTICULOS CONSUMO
HERBOLARIOS, PLANTAS MEDICINALES Y PARAF;ARTICULOS CONSUMO
HEATING,PLUMBING,AIR CONDITIONING;ARTICULOS CONSUMO
G.SUPERFICIES DE FLORES Y PLANTAS;ARTICULOS CONSUMO
G.SUPERFICIES DE DROGUERIA Y PERFUMERIA;ARTICULOS CONSUMO
G. SUPERFICIES DE DROGUERIAS NIVEL 4;ARTICULOS CONSUMO
FUEL DEALERS - FUEL OIL, WOOD, COAL, ..;ARTICULOS CONSUMO
FERRETERIA,BRICOLAJE,MENAJE DEL HOGAR;ARTICULOS CONSUMO
ELECTRODOMESTICOS,EQUIPOS ELECTRICOS;ARTICULOS CONSUMO
DROGUERIAS, PERFUMERIAS;ARTICULOS CONSUMO
CONSUMOS DE EMERGENCIA;ARTICULOS CONSUMO
CONFECCION TEXTIL NIVEL 4;ARTICULOS CONSUMO
COMERCIO ELECTRONICO NIVEL 3;ARTICULOS CONSUMO
BAZARES Y REGALOS NIVEL 2;ARTICULOS CONSUMO
BAZARES MAYA;ARTICULOS CONSUMO
AKI BRICOBI;ARTICULOS CONSUMO
ANTIQUE SHOPS-SALES, REPAIRS & RESTORATI;ARTICULOS CONSUMO
WOMEN'S READY TO WEAR STORES;ARTICULOS CONSUMO
WOMEN'S ACCESSORY & SPECIALTY STORES;ARTICULOS CONSUMO
VENTA A DIST.RESTAURAC.Y COMIDA RAPIDA;ARTICULOS CONSUMO
SCHOOL,STATIONERY & OFFICE SUPLY STORES;ARTICULOS CONSUMO
RETAIL OPERATING COMPANY;ARTICULOS CONSUMO
MUEBLES,ANTIGUEDADES Y GALERIAS DE ARTE;ARTICULOS CONSUMO
MISCELLANEOUS HOUSE FURNISHING SHOPS;ARTICULOS CONSUMO
MISCELLANEOUS APPAREL & ACCESSORY STORES;ARTICULOS CONSUMO
MARROQUINERIA ART. VIAJES NIVEL 2;ARTICULOS CONSUMO
MARROQUINERIA ART VIAJES NIVEL 3;ARTICULOS CONSUMO
INSURANCE - SALES & UNDERWRITING;ARTICULOS CONSUMO
HIPERMERCADOS (TECNOLOGIA ELECTRONICA);ARTICULOS CONSUMO
HEALTH & BEAUTY SPAS;ARTICULOS CONSUMO
GRUPO ZARA;ARTICULOS CONSUMO
GROCERY STORES, SUPERMARKETS;ARTICULOS CONSUMO
FOTOGRAFIA NIVEL 4;ARTICULOS CONSUMO
FARMACIAS;ARTICULOS CONSUMO
DIRECT MARKETING CONTINUITY/SUBCRIPCION;ARTICULOS CONSUMO
CONFECCION TEXTIL NIVEL 2;ARTICULOS CONSUMO
ALDEASA;ARTICULOS CONSUMO
AUTOM.Y MOTOCICLETAS ( VENTAS Y REPARAC);ARTICULOS CONSUMO
BAZARES, OBJETOS REGALO Y SOUVENIRS;ARTICULOS CONSUMO
BEAUTY SHOPS & BARBER SHOPS;ARTICULOS CONSUMO
CAFETERIAS,SNACKS;ARTICULOS CONSUMO
COMIDA RAPIDA;ARTICULOS CONSUMO
COMPUTERS,COMPUTER PERIPHERAL;ARTICULOS CONSUMO
CONFECCION TEXTIL EN GENERAL;ARTICULOS CONSUMO
DECORACION Y ARQUITECTURA;ARTICULOS CONSUMO
DIRECT MARKETING-CATALOG MERCHANT;ARTICULOS CONSUMO
EXPENDIDURIA OFICIAL DE TABACO;ARTICULOS CONSUMO
FLORES Y PLANTAS;ARTICULOS CONSUMO
FOTOGRAFIA NIVEL 2;ARTICULOS CONSUMO
FOTOGRAFIA,EQUIPOS CINE,OPTICA,INST.MEDI;ARTICULOS CONSUMO
HELADERIA;ARTICULOS CONSUMO
JOYERIAS Y RELOJERIAS;ARTICULOS CONSUMO
JUGUETES, ARTICULOS DEPORTIVOS;ARTICULOS CONSUMO
